Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,05/02/2010,42.31,2.572,NA,NA,NA,NA,NA,211.0963582,8.106,FALSE
1,12/02/2010,38.51,2.548,NA,NA,NA,NA,NA,211.2421698,8.106,TRUE
1,19/02/2010,39.93,2.514,NA,NA,NA,NA,NA,211.2891429,8.106,FALSE
1,26/02/2010,46.63,2.561,NA,NA,NA,NA,NA,211.3196429,8.106,FALSE
1,05/03/2010,46.5,2.625,NA,NA,NA,NA,NA,211.3501429,8.106,FALSE
1,12/03/2010,57.79,2.667,NA,NA,NA,NA,NA,211.3806429,8.106,FALSE
1,19/03/2010,54.58,2.72,NA,NA,NA,NA,NA,211.215635,8.106,FALSE
1,26/03/2010,51.45,2.732,NA,NA,NA,NA,NA,211.0180424,8.106,FALSE
1,02/04/2010,62.27,2.719,NA,NA,NA,NA,NA,210.8204499,7.808,FALSE
1,09/04/2010,65.86,2.77,NA,NA,NA,NA,NA,210.6228574,7.808,FALSE
1,16/04/2010,66.32,2.808,NA,NA,NA,NA,NA,210.4887,7.808,FALSE
1,23/04/2010,64.84,2.795,NA,NA,NA,NA,NA,210.4391228,7.808,FALSE
1,30/04/2010,67.41,2.78,NA,NA,NA,NA,NA,210.3895456,7.808,FALSE
1,07/05/2010,72.55,2.835,NA,NA,NA,NA,NA,210.3399684,7.808,FALSE
1,14/05/2010,74.78,2.854,NA,NA,NA,NA,NA,210.3374261,7.808,FALSE
1,21/05/2010,76.44,2.826,NA,NA,NA,NA,NA,210.6170934,7.808,FALSE
1,28/05/2010,80.44,2.759,NA,NA,NA,NA,NA,210.8967606,7.808,FALSE
1,04/06/2010,80.69,2.705,NA,NA,NA,NA,NA,211.1764278,7.808,FALSE
1,11/06/2010,80.43,2.668,NA,NA,NA,NA,NA,211.4560951,7.808,FALSE
1,18/06/2010,84.11,2.637,NA,NA,NA,NA,NA,211.4537719,7.808,FALSE
1,25/06/2010,84.34,2.653,NA,NA,NA,NA,NA,211.3386526,7.808,FALSE
1,02/07/2010,80.91,2.669,NA,NA,NA,NA,NA,211.2235333,7.787,FALSE
1,09/07/2010,80.48,2.642,NA,NA,NA,NA,NA,211.108414,7.787,FALSE
1,16/07/2010,83.15,2.623,NA,NA,NA,NA,NA,211.1003854,7.787,FALSE
1,23/07/2010,83.36,2.608,NA,NA,NA,NA,NA,211.2351443,7.787,FALSE
1,30/07/2010,81.84,2.64,NA,NA,NA,NA,NA,211.3699032,7.787,FALSE
1,06/08/2010,87.16,2.627,NA,NA,NA,NA,NA,211.5046621,7.787,FALSE
1,13/08/2010,87,2.692,NA,NA,NA,NA,NA,211.6394211,7.787,FALSE
1,20/08/2010,86.65,2.664,NA,NA,NA,NA,NA,211.6033633,7.787,FALSE
1,27/08/2010,85.22,2.619,NA,NA,NA,NA,NA,211.5673056,7.787,FALSE
1,03/09/2010,81.21,2.577,NA,NA,NA,NA,NA,211.5312479,7.787,FALSE
1,10/09/2010,78.69,2.565,NA,NA,NA,NA,NA,211.4951902,7.787,TRUE
1,17/09/2010,82.11,2.582,NA,NA,NA,NA,NA,211.5224596,7.787,FALSE
1,24/09/2010,80.94,2.624,NA,NA,NA,NA,NA,211.5972246,7.787,FALSE
1,01/10/2010,71.89,2.603,NA,NA,NA,NA,NA,211.6719895,7.838,FALSE
1,08/10/2010,63.93,2.633,NA,NA,NA,NA,NA,211.7467544,7.838,FALSE
1,15/10/2010,67.18,2.72,NA,NA,NA,NA,NA,211.8137436,7.838,FALSE
1,22/10/2010,69.86,2.725,NA,NA,NA,NA,NA,211.8612937,7.838,FALSE
1,29/10/2010,69.64,2.716,NA,NA,NA,NA,NA,211.9088438,7.838,FALSE
1,05/11/2010,58.74,2.689,NA,NA,NA,NA,NA,211.9563939,7.838,FALSE
1,12/11/2010,59.61,2.728,NA,NA,NA,NA,NA,212.003944,7.838,FALSE
1,19/11/2010,51.41,2.771,NA,NA,NA,NA,NA,211.8896737,7.838,FALSE
1,26/11/2010,64.52,2.735,NA,NA,NA,NA,NA,211.7484333,7.838,TRUE
1,03/12/2010,49.27,2.708,NA,NA,NA,NA,NA,211.607193,7.838,FALSE
1,10/12/2010,46.33,2.843,NA,NA,NA,NA,NA,211.4659526,7.838,FALSE
1,17/12/2010,49.84,2.869,NA,NA,NA,NA,NA,211.4053124,7.838,FALSE
1,24/12/2010,52.33,2.886,NA,NA,NA,NA,NA,211.4051222,7.838,FALSE
1,31/12/2010,48.43,2.943,NA,NA,NA,NA,NA,211.4049321,7.838,TRUE
